INFO   08:33:05 : Id:315180539122; 休眠电流:3.00uA; 接收电流:22.64mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:33:24 : Id:315180540182; 休眠电流:3.00uA; 接收电流:22.20mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:33:40 : Id:315180538115; 休眠电流:3.00uA; 接收电流:22.69mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:33:55 : Id:315180540231; 休眠电流:3.00uA; 接收电流:22.25mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:34:09 : Id:315180539576; 休眠电流:3.00uA; 接收电流:22.39mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:34:25 : Id:315180538763; 休眠电流:3.33uA; 接收电流:22.73mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:34:39 : Id:315180537698; 休眠电流:3.00uA; 接收电流:22.62mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:34:55 : Id:315180538217; 休眠电流:3.00uA; 接收电流:22.14mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:35:10 : Id:315180538753; 休眠电流:3.00uA; 接收电流:22.07mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:35:48 : Id:315180539339; 休眠电流:3.00uA; 接收电流:22.33mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:36:03 : Id:315180539655; 休眠电流:3.00uA; 接收电流:22.25mA; 电压:3.43V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:36:22 : Id:315180539672; 休眠电流:2.67uA; 接收电流:22.07mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:36:36 : Id:315180539202; 休眠电流:3.00uA; 接收电流:22.62mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:36:51 : Id:315180539269; 休眠电流:3.00uA; 接收电流:22.39mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:37:06 : Id:315180539257; 休眠电流:3.00uA; 接收电流:22.62mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:37:39 : Id:315180539241; 休眠电流:3.00uA; 接收电流:22.49mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:37:53 : Id:315180539397; 休眠电流:3.33uA; 接收电流:22.13mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:08 : Id:315180539236; 休眠电流:3.33uA; 接收电流:22.49mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:24 : Id:315180539258; 休眠电流:3.00uA; 接收电流:22.59mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:39 : Id:315180539350; 休眠电流:3.33uA; 接收电流:22.34mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:55 : Id:315180539209; 休眠电流:3.33uA; 接收电流:22.54mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:39:11 : Id:315180540207; 休眠电流:3.33uA; 接收电流:22.47mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:39:28 : Id:315180539425; 休眠电流:3.00uA; 接收电流:22.68mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:39:44 : Id:315180542210; 休眠电流:3.00uA; 接收电流:22.47mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:39:58 : Id:315180539110; 休眠电流:2.67uA; 接收电流:22.43mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:40:17 : Id:315180539508; 休眠电流:3.00uA; 接收电流:22.34mA; 电压:3.24V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:40:32 : Id:315180540073; 休眠电流:3.00uA; 接收电流:22.39mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:40:53 : Id:315180539556; 休眠电流:2.67uA; 接收电流:22.57mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:41:07 : Id:315180541752; 休眠电流:3.00uA; 接收电流:22.45mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:41:23 : Id:315180539427; 休眠电流:3.00uA; 接收电流:22.19mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:41:38 : Id:315180540412; 休眠电流:3.00uA; 接收电流:22.41mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:41:58 : Id:315180540309; 休眠电流:3.00uA; 接收电流:22.41mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:42:13 : Id:315180540411; 休眠电流:3.00uA; 接收电流:22.53mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:42:29 : Id:315180541778; 休眠电流:3.33uA; 接收电流:22.50mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:42:44 : Id:315180539755; 休眠电流:4.00uA; 接收电流:22.31mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:42:58 : Id:315180540143; 休眠电流:0.00uA; 接收电流:0.00mA; 电压:0.00V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:43:10 : Id:315180540143; 休眠电流:0.00uA; 接收电流:0.00mA; 电压:0.00V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:43:18 : Id:315180540143; 休眠电流:0.00uA; 接收电流:0.00mA; 电压:0.00V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:43:34 : Id:315180539309; 休眠电流:3.00uA; 接收电流:22.30mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:43:49 : Id:315180540292; 休眠电流:3.00uA; 接收电流:22.53mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:44:04 : Id:315180539581; 休眠电流:2.67uA; 接收电流:22.72mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:44:18 : Id:315180539634; 休眠电流:3.00uA; 接收电流:22.16mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:44:34 : Id:315180540065; 休眠电流:3.33uA; 接收电流:22.54mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:44:48 : Id:315180539343; 休眠电流:3.67uA; 接收电流:22.19mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:45:04 : Id:315180539294; 休眠电流:3.33uA; 接收电流:22.33mA; 电压:3.36V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:46:14 : Id:315180539306; 休眠电流:3.00uA; 接收电流:22.63mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:46:43 : Id:315180539329; 休眠电流:3.00uA; 接收电流:22.46mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:47:02 : Id:315180539351; 休眠电流:3.00uA; 接收电流:22.34mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:47:16 : Id:315180539232; 休眠电流:0.00uA; 接收电流:22.22mA; 电压:0.00V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:47:29 : Id:315180539232; 休眠电流:3.00uA; 接收电流:22.31mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:47:49 : Id:315180539682; 休眠电流:3.00uA; 接收电流:22.41mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:05 : Id:315180539684; 休眠电流:3.33uA; 接收电流:22.49mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:24 : Id:315180539649; 休眠电流:3.00uA; 接收电流:22.40mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:38 : Id:315180540301; 休眠电流:0.00uA; 接收电流:0.00mA; 电压:0.00V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:48:53 : Id:315180540301; 休眠电流:3.00uA; 接收电流:22.44mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:10 : Id:315180539106; 休眠电流:4.00uA; 接收电流:22.25mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:29 : Id:315180540076; 休眠电流:3.33uA; 接收电流:22.12mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:44 : Id:315180539337; 休眠电流:3.67uA; 接收电流:22.30mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:02 : Id:315180539268; 休眠电流:3.00uA; 接收电流:22.35mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:16 : Id:315180539279; 休眠电流:3.33uA; 接收电流:22.64mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:35 : Id:315180539795; 休眠电流:3.00uA; 接收电流:22.56mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:52 : Id:315180540270; 休眠电流:3.00uA; 接收电流:22.51mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:13 : Id:315180539854; 休眠电流:3.00uA; 接收电流:22.30mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:32 : Id:315180539997; 休眠电流:4.33uA; 接收电流:22.40mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:49 : Id:315180539835; 休眠电流:4.00uA; 接收电流:22.47mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:04 : Id:315180540161; 休眠电流:3.00uA; 接收电流:22.63mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:20 : Id:315180540031; 休眠电流:3.00uA; 接收电流:22.02mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:40 : Id:315180539204; 休眠电流:3.00uA; 接收电流:22.28mA; 电压:3.24V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:55 : Id:315180539984; 休眠电流:3.33uA; 接收电流:22.63mA; 电压:3.43V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:10 : Id:315180540420; 休眠电流:3.00uA; 接收电流:22.59mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:26 : Id:315180539420; 休眠电流:3.00uA; 接收电流:22.32mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:41 : Id:315180540068; 休眠电流:3.00uA; 接收电流:22.22mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:56 : Id:315180539457; 休眠电流:3.00uA; 接收电流:22.39mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:22 : Id:315180540115; 休眠电流:3.33uA; 接收电流:22.60mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:42 : Id:315180539819; 休眠电流:3.33uA; 接收电流:21.93mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:01 : Id:315180540036; 休眠电流:3.00uA; 接收电流:22.65mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:16 : Id:315180540028; 休眠电流:3.00uA; 接收电流:22.32mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:38 : Id:315180540423; 休眠电流:3.00uA; 接收电流:22.15mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:53 : Id:315180539991; 休眠电流:3.00uA; 接收电流:22.60mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:09 : Id:315180539844; 休眠电流:3.00uA; 接收电流:22.65mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:26 : Id:315180539866; 休眠电流:3.00uA; 接收电流:22.45mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:44 : Id:315180540091; 休眠电流:3.33uA; 接收电流:22.42mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:57:01 : Id:315180540282; 休眠电流:4.00uA; 接收电流:22.42mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:57:16 : Id:315180540132; 休眠电流:4.00uA; 接收电流:22.56mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
