INFO   09:54:49 : Id:315180514551; 频点:492079912Hz; 功率:16.20dbm; 时钟周期:1000001.0660us; 发送电流:60.77mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:55:06 : Id:315180514517; 频点:492080045Hz; 功率:16.20dbm; 时钟周期:1000001.6330us; 发送电流:60.36mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:55:41 : Id:315180514528; 频点:492079956Hz; 功率:15.80dbm; 时钟周期:1000001.5330us; 发送电流:59.41mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:55:57 : Id:315180514559; 频点:492080077Hz; 功率:16.20dbm; 时钟周期:1000001.7330us; 发送电流:61.03mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:56:12 : Id:315180514632; 频点:492080029Hz; 功率:15.20dbm; 时钟周期:1000000.5660us; 发送电流:57.17mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:56:26 : Id:315180514501; 频点:492080055Hz; 功率:16.10dbm; 时钟周期:1000001.2330us; 发送电流:60.72mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:56:54 : Id:315180514477; 频点:492080023Hz; 功率:15.50dbm; 时钟周期:1000001.8120us; 发送电流:60.34mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:57:08 : Id:315180514477; 频点:492079982Hz; 功率:15.80dbm; 时钟周期:1000001.9660us; 发送电流:58.49mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:57:22 : Id:315180514541; 频点:492079912Hz; 功率:16.20dbm; 时钟周期:1000001.2660us; 发送电流:59.19mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:57:42 : Id:315180514395; 频点:492079942Hz; 功率:16.10dbm; 时钟周期:1000001.1330us; 发送电流:60.85mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:57:53 : Id:315180514433; 频点:492079968Hz; 功率:16.40dbm; 时钟周期:1000001.0000us; 发送电流:60.90mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:58:05 : Id:315180514810; 频点:492079930Hz; 功率:15.87dbm; 时钟周期:1000001.3000us; 发送电流:59.85mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:58:17 : Id:315180514514; 频点:492079926Hz; 功率:15.43dbm; 时钟周期:1000001.0330us; 发送电流:58.17mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:58:28 : Id:315180514509; 频点:492079983Hz; 功率:16.30dbm; 时钟周期:1000000.7000us; 发送电流:61.11mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:58:41 : Id:315180514544; 频点:492079877Hz; 功率:15.73dbm; 时钟周期:1000000.9000us; 发送电流:57.90mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:58:52 : Id:315180514808; 频点:492080056Hz; 功率:16.20dbm; 时钟周期:1000001.8330us; 发送电流:60.27mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:59:08 : Id:315180514526; 频点:492079873Hz; 功率:16.00dbm; 时钟周期:1000001.2660us; 发送电流:59.32mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:59:20 : Id:315180514365; 频点:492080007Hz; 功率:16.00dbm; 时钟周期:1000000.8330us; 发送电流:60.67mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:59:35 : Id:315180514540; 频点:492080071Hz; 功率:16.30dbm; 时钟周期:1000000.5660us; 发送电流:61.50mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:59:48 : Id:315180514543; 频点:492080027Hz; 功率:16.30dbm; 时钟周期:1000002.2330us; 发送电流:60.74mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:59:57 : Id:315180514500; 频点:492079951Hz; 功率:15.90dbm; 时钟周期:1000001.4330us; 发送电流:59.73mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:00:09 : Id:315180514531; 频点:492079898Hz; 功率:16.30dbm; 时钟周期:1000001.1000us; 发送电流:60.25mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:00:31 : Id:315180514494; 频点:492079920Hz; 功率:-12.20dbm; 时钟周期:1000000.3660us; 发送电流:47.33mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   10:00:44 : Id:315180514479; 频点:492079851Hz; 功率:15.77dbm; 时钟周期:1000000.4660us; 发送电流:58.13mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:00:54 : Id:315180514743; 频点:492080011Hz; 功率:16.23dbm; 时钟周期:1000001.7660us; 发送电流:60.25mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:01:05 : Id:315180514805; 频点:492079957Hz; 功率:16.10dbm; 时钟周期:999999.9660us; 发送电流:59.85mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:01:15 : Id:315180514430; 频点:492080013Hz; 功率:16.30dbm; 时钟周期:1000000.5000us; 发送电流:59.90mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:01:25 : Id:315180514534; 频点:492079965Hz; 功率:16.20dbm; 时钟周期:1000002.0000us; 发送电流:60.79mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:01:35 : Id:315180514803; 频点:492080016Hz; 功率:16.00dbm; 时钟周期:1000001.5660us; 发送电流:59.39mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:01:46 : Id:315180514800; 频点:492079872Hz; 功率:16.10dbm; 时钟周期:1000000.3660us; 发送电流:60.17mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:01:57 : Id:315180514487; 频点:492079941Hz; 功率:15.13dbm; 时钟周期:1000000.1330us; 发送电流:58.65mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:02:07 : Id:315180514505; 频点:492079947Hz; 功率:16.30dbm; 时钟周期:1000000.3660us; 发送电流:60.45mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:02:30 : Id:315180514628; 频点:492079990Hz; 功率:15.83dbm; 时钟周期:1000000.7000us; 发送电流:58.79mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:02:40 : Id:315180514483; 频点:492079864Hz; 功率:16.00dbm; 时钟周期:1000000.9000us; 发送电流:59.64mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:02:49 : Id:315180514446; 频点:492080063Hz; 功率:16.10dbm; 时钟周期:1000000.3330us; 发送电流:61.46mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:03:00 : Id:315180514786; 频点:492079937Hz; 功率:15.03dbm; 时钟周期:999900.2660us; 发送电流:57.58mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   10:03:10 : Id:315180514786; 频点:492079938Hz; 功率:16.00dbm; 时钟周期:1000000.4660us; 发送电流:59.57mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:03:20 : Id:315180514467; 频点:492080006Hz; 功率:15.70dbm; 时钟周期:1000001.4000us; 发送电流:58.42mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:03:30 : Id:315180514735; 频点:492079980Hz; 功率:16.30dbm; 时钟周期:1000000.8000us; 发送电流:60.70mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:03:40 : Id:315180514656; 频点:492080028Hz; 功率:16.50dbm; 时钟周期:1000001.0330us; 发送电流:61.60mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:03:51 : Id:315180514537; 频点:492079969Hz; 功率:15.70dbm; 时钟周期:1000001.3000us; 发送电流:58.78mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:04:01 : Id:315180514380; 频点:492079968Hz; 功率:16.20dbm; 时钟周期:1000000.9000us; 发送电流:61.24mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:04:13 : Id:315180514651; 频点:492079983Hz; 功率:16.43dbm; 时钟周期:1000001.9330us; 发送电流:61.27mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:04:23 : Id:315180514608; 频点:492079941Hz; 功率:16.30dbm; 时钟周期:1000001.0660us; 发送电流:61.01mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:04:36 : Id:315180514566; 频点:492080053Hz; 功率:16.20dbm; 时钟周期:1000000.9000us; 发送电流:60.36mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:04:47 : Id:315180514619; 频点:492080069Hz; 功率:15.90dbm; 时钟周期:1000001.8000us; 发送电流:60.99mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:04:56 : Id:315180514499; 频点:492079863Hz; 功率:16.40dbm; 时钟周期:1000000.6660us; 发送电流:60.72mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:05:06 : Id:315180514464; 频点:492079992Hz; 功率:15.90dbm; 时钟周期:1000001.8000us; 发送电流:59.08mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:05:17 : Id:315180514684; 频点:492080049Hz; 功率:16.13dbm; 时钟周期:1000001.2660us; 发送电流:59.79mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:05:27 : Id:315180514652; 频点:492080024Hz; 功率:16.40dbm; 时钟周期:1000000.5330us; 发送电流:63.21mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:05:37 : Id:315180514690; 频点:492079990Hz; 功率:16.00dbm; 时钟周期:1000001.3660us; 发送电流:58.79mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:05:49 : Id:315180514670; 频点:492080059Hz; 功率:16.33dbm; 时钟周期:999912.5660us; 发送电流:60.62mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   10:05:59 : Id:315180514670; 频点:492080062Hz; 功率:16.10dbm; 时钟周期:1000003.0000us; 发送电流:59.88mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:06:10 : Id:315180514650; 频点:492079865Hz; 功率:16.20dbm; 时钟周期:1000001.3000us; 发送电流:61.86mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:06:21 : Id:315180514620; 频点:492079944Hz; 功率:16.40dbm; 时钟周期:1000001.9660us; 发送电流:60.97mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:06:44 : Id:315180514585; 频点:492080028Hz; 功率:16.30dbm; 时钟周期:1000000.6000us; 发送电流:60.23mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:06:54 : Id:315180514600; 频点:492079946Hz; 功率:16.40dbm; 时钟周期:1000001.7330us; 发送电流:61.87mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:07:04 : Id:315180514626; 频点:492079966Hz; 功率:16.20dbm; 时钟周期:1000001.3000us; 发送电流:59.38mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:07:14 : Id:315180514751; 频点:492079959Hz; 功率:16.03dbm; 时钟周期:1000001.1330us; 发送电流:58.94mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:07:25 : Id:315180514703; 频点:492079922Hz; 功率:16.10dbm; 时钟周期:999918.0660us; 发送电流:59.53mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   10:07:35 : Id:315180514703; 频点:492079923Hz; 功率:16.30dbm; 时钟周期:1000002.0660us; 发送电流:60.37mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:07:45 : Id:315180514750; 频点:492079903Hz; 功率:16.40dbm; 时钟周期:1000002.0000us; 发送电流:61.40mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:07:55 : Id:315180514563; 频点:492080003Hz; 功率:16.50dbm; 时钟周期:1000001.0000us; 发送电流:63.35mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:08:06 : Id:315180514588; 频点:492080006Hz; 功率:16.40dbm; 时钟周期:1000001.0330us; 发送电流:61.47mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:08:17 : Id:315180514485; 频点:492080023Hz; 功率:16.23dbm; 时钟周期:1000001.0330us; 发送电流:60.46mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   10:08:28 : Id:315180514451; 频点:492079964Hz; 功率:16.10dbm; 时钟周期:1000001.8000us; 发送电流:59.58mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
