INFO   08:33:22 : Id:315180533237; 频点:492079871Hz; 功率:16.30dbm; 时钟周期:1000001.7660us; 发送电流:60.79mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:33:33 : Id:315180533233; 频点:492079816Hz; 功率:16.43dbm; 时钟周期:1000001.3000us; 发送电流:65.78mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:33:45 : Id:315180533457; 频点:492079901Hz; 功率:16.40dbm; 时钟周期:1000001.0330us; 发送电流:62.53mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:33:56 : Id:315180533264; 频点:492079838Hz; 功率:16.00dbm; 时钟周期:1000002.0660us; 发送电流:61.42mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:34:07 : Id:315180533393; 频点:492079802Hz; 功率:16.30dbm; 时钟周期:1000001.5000us; 发送电流:62.20mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:34:25 : Id:315180533390; 频点:492079924Hz; 功率:16.00dbm; 时钟周期:1000000.7000us; 发送电流:63.87mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:34:36 : Id:315180533228; 频点:492079875Hz; 功率:16.33dbm; 时钟周期:1000000.9000us; 发送电流:61.78mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:34:48 : Id:315180533395; 频点:492079888Hz; 功率:16.50dbm; 时钟周期:1000000.5330us; 发送电流:62.77mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:34:58 : Id:315180533236; 频点:492079941Hz; 功率:16.40dbm; 时钟周期:1000001.4330us; 发送电流:61.65mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:35:08 : Id:315180533223; 频点:492079865Hz; 功率:16.20dbm; 时钟周期:1000002.3330us; 发送电流:61.83mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:35:18 : Id:315180533243; 频点:492080031Hz; 功率:16.23dbm; 时钟周期:1000001.2000us; 发送电流:61.22mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:36:01 : Id:315180532994; 频点:15464158Hz; 功率:-46.10dbm; 时钟周期:0.0000us; 发送电流:2.88mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:36:11 : Id:315180532994; 频点:492079993Hz; 功率:16.30dbm; 时钟周期:1000001.2000us; 发送电流:61.41mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:36:21 : Id:315180533448; 频点:492079987Hz; 功率:16.50dbm; 时钟周期:1000001.4660us; 发送电流:62.80mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:36:44 : Id:315180533019; 频点:492079987Hz; 功率:8.97dbm; 时钟周期:1000000.6660us; 发送电流:67.61mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:36:54 : Id:315180533019; 频点:492079983Hz; 功率:16.43dbm; 时钟周期:1000000.8660us; 发送电流:63.05mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:37:05 : Id:315180533245; 频点:492079966Hz; 功率:16.40dbm; 时钟周期:1000001.0660us; 发送电流:62.27mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:37:26 : Id:315180533146; 频点:492080025Hz; 功率:16.30dbm; 时钟周期:1000001.2330us; 发送电流:60.06mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:37:53 : Id:315180532957; 频点:492080065Hz; 功率:16.30dbm; 时钟周期:1000001.7000us; 发送电流:62.38mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:03 : Id:315180532971; 频点:492079855Hz; 功率:16.47dbm; 时钟周期:1000001.4000us; 发送电流:63.17mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:15 : Id:315180533062; 频点:492080010Hz; 功率:16.23dbm; 时钟周期:1000000.9330us; 发送电流:62.19mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:25 : Id:315180533241; 频点:492080046Hz; 功率:16.30dbm; 时钟周期:1000001.0000us; 发送电流:61.29mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:37 : Id:315180533295; 频点:492079936Hz; 功率:16.40dbm; 时钟周期:1000000.4000us; 发送电流:61.97mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:48 : Id:315180533315; 频点:492080044Hz; 功率:16.20dbm; 时钟周期:1000002.5000us; 发送电流:60.65mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:59 : Id:315180533234; 频点:492079989Hz; 功率:16.20dbm; 时钟周期:1000000.7660us; 发送电流:61.65mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:39:10 : Id:315180533290; 频点:492080001Hz; 功率:15.80dbm; 时钟周期:1000001.1660us; 发送电流:61.14mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:39:20 : Id:315180533232; 频点:492079961Hz; 功率:16.50dbm; 时钟周期:1000001.3330us; 发送电流:63.02mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:39:32 : Id:315180533269; 频点:492079918Hz; 功率:16.20dbm; 时钟周期:1000001.9000us; 发送电流:62.22mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:39:42 : Id:315180533226; 频点:492079979Hz; 功率:16.30dbm; 时钟周期:1000000.9330us; 发送电流:62.16mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:39:54 : Id:315180533392; 频点:492079989Hz; 功率:16.40dbm; 时钟周期:1000001.5000us; 发送电流:62.35mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
