INFO   08:34:15 : Id:315180537908; 频点:492081781Hz; 功率:12.27dbm; 时钟周期:1000001.7660us; 发送电流:66.91mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:34:29 : Id:315180537908; 频点:492081559Hz; 功率:13.00dbm; 时钟周期:1000001.9330us; 发送电流:67.57mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:35:58 : Id:315180537908; 频点:492080549Hz; 功率:16.53dbm; 时钟周期:1000002.0000us; 发送电流:62.52mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:36:50 : Id:315180537905; 频点:492080228Hz; 功率:15.57dbm; 时钟周期:1000001.9660us; 发送电流:61.42mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:38:05 : Id:315180537908; 频点:492079999Hz; 功率:16.50dbm; 时钟周期:1000002.0330us; 发送电流:62.56mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:19 : Id:315180537881; 频点:492079905Hz; 功率:16.30dbm; 时钟周期:1000002.3000us; 发送电流:61.83mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:54 : Id:315180537905; 频点:492079972Hz; 功率:15.97dbm; 时钟周期:1000001.3000us; 发送电流:60.65mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:39:10 : Id:315180537783; 频点:492079921Hz; 功率:16.10dbm; 时钟周期:1000001.5000us; 发送电流:61.30mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:39:21 : Id:315180537913; 频点:492079819Hz; 功率:15.93dbm; 时钟周期:1000001.1660us; 发送电流:62.82mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:39:55 : Id:315180537878; 频点:492079982Hz; 功率:16.03dbm; 时钟周期:1000001.2660us; 发送电流:61.89mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:40:07 : Id:315180537756; 频点:492079927Hz; 功率:16.23dbm; 时钟周期:1000001.6330us; 发送电流:61.88mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:40:20 : Id:315180532575; 频点:492079881Hz; 功率:15.63dbm; 时钟周期:1000001.1000us; 发送电流:61.78mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:40:51 : Id:315180537806; 频点:492080015Hz; 功率:15.80dbm; 时钟周期:1000000.8660us; 发送电流:60.79mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:41:03 : Id:315180537931; 频点:492079928Hz; 功率:15.87dbm; 时钟周期:1000000.3660us; 发送电流:63.13mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:41:17 : Id:315180537759; 频点:492079910Hz; 功率:16.00dbm; 时钟周期:1000001.5330us; 发送电流:60.86mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:41:44 : Id:315180537744; 频点:492080005Hz; 功率:16.50dbm; 时钟周期:1000001.1000us; 发送电流:63.69mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:41:57 : Id:315180537895; 频点:492079996Hz; 功率:16.30dbm; 时钟周期:1000002.2000us; 发送电流:62.58mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:42:08 : Id:315180537766; 频点:492079954Hz; 功率:15.97dbm; 时钟周期:1000001.5330us; 发送电流:61.80mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:42:21 : Id:315180537796; 频点:492080040Hz; 功率:15.57dbm; 时钟周期:1000001.1000us; 发送电流:61.03mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:42:50 : Id:315180537925; 频点:492079935Hz; 功率:15.50dbm; 时钟周期:1000002.0000us; 发送电流:64.86mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:43:03 : Id:315180537002; 频点:492079911Hz; 功率:15.03dbm; 时钟周期:1000002.9660us; 发送电流:61.21mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:43:15 : Id:315180533775; 频点:492079924Hz; 功率:16.20dbm; 时钟周期:0.0000us; 发送电流:61.22mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:43:46 : Id:315180534596; 频点:112659533Hz; 功率:-22.67dbm; 时钟周期:1000000.6660us; 发送电流:91.56mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:44:35 : Id:315180534636; 频点:281632906Hz; 功率:-20.73dbm; 时钟周期:1000001.0660us; 发送电流:98.36mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:45:30 : Id:315180537777; 频点:492080004Hz; 功率:16.10dbm; 时钟周期:1000001.2330us; 发送电流:61.63mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:45:46 : Id:315180537930; 频点:492080000Hz; 功率:15.00dbm; 时钟周期:1000000.2000us; 发送电流:61.21mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:46:02 : Id:315180537890; 频点:492079994Hz; 功率:15.90dbm; 时钟周期:1000001.3660us; 发送电流:60.13mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:46:18 : Id:315180537891; 频点:492080057Hz; 功率:16.20dbm; 时钟周期:1000002.1330us; 发送电流:62.04mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:46:43 : Id:315180537765; 频点:492080020Hz; 功率:16.30dbm; 时钟周期:1000001.6000us; 发送电流:62.94mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:47:07 : Id:315180537738; 频点:492079985Hz; 功率:15.90dbm; 时钟周期:1000001.6330us; 发送电流:61.75mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:47:21 : Id:315180537771; 频点:492080054Hz; 功率:-4.70dbm; 时钟周期:0.0000us; 发送电流:35.15mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:47:38 : Id:315180537771; 频点:492080063Hz; 功率:15.33dbm; 时钟周期:1000000.2660us; 发送电流:62.42mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:02 : Id:315180537758; 频点:492080027Hz; 功率:-12.90dbm; 时钟周期:1000001.5330us; 发送电流:58.35mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:48:19 : Id:315180537758; 频点:492080051Hz; 功率:16.10dbm; 时钟周期:1000001.6660us; 发送电流:61.78mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
